Variable,Code value,Code description,col_name,inequality,connector,inequality_extra,value_extra
DESCRIP,1,"House, apartment, or flat (HOUSING UNIT)",dwel_hu_house,==,,,
DESCRIP,2,"HU in nontransient hotel, motel, etc. (HOUSING UNIT)",dwel_hu_nt_hotel,==,,,
DESCRIP,3,"HU, permanent in transient hotel, motel, etc. (HOUSING UNIT)",dwel_hu_perm_t_hotel,==,,,
DESCRIP,4,"HU, in rooming house (HOUSING UNIT)",dwel_hu_rooming_house,==,,,
DESCRIP,5,Mobile home or trailer with no permanent room added (HOUSING UNIT),dwel_hu_mobilehome_no_perm_room,==,,,
DESCRIP,6,Mobile home or trailer with one or more permanent rooms added (HOUSING UNIT),dwel_hu_mobilehome_perm_room,==,,,
DESCRIP,7,HU not specified above (HOUSING UNIT),dwel_hu_other,==,,,
DESCRIP,8,Quarters not HU in rooming or boarding house (OTHER UNIT),dwel_ou_rooming_house,==,,,
DESCRIP,9,Student quarters in college dormitory. (OTHER UNIT),dwel_ou_college_dorm,==,,,
DESCRIP,10,"Group quarters, unit not specified (OTHER UNIT)",dwel_ou_group_quarters,==,,,
FAM_TYPE,1,Married couple only,fam_married_only,==,,,
FAM_TYPE,2,"Married couple, own children only, oldest child < 6",fam_married_all_kids_less_6,==,,,
FAM_TYPE,3,"Married couple, own children only,  oldest child > 6, < 18",fam_married_oldest_kid_between_6_18,==,,,
FAM_TYPE,4,"Married couple, own children only, oldest child > 17",fam_married_oldest_kid_more_17,==,,,
FAM_TYPE,5,All other Married couple families,fam_married_other,==,,,
FAM_TYPE,6,"One parent, male, own children at least one age < 18",fam_single_dad,==,,,
FAM_TYPE,7,"One parent, female, own children, at least one age < 18",fam_single_mom,==,,,
FAM_TYPE,8,Single consumers,fam_single_person,==,,,
FAM_TYPE,9,Other families,fam_other,==,,,
HIGH_EDU,0,No schooling completed or less than 1 year,edu_none,==,,,
HIGH_EDU,10,"Nursery, kindergarten, and elementary school",edu_elem,==,,,
HIGH_EDU,11,"High school (grades 9-12), no degree",edu_some_high_school,==,,,
HIGH_EDU,12,High school graduate - high school diploma or equivalent (GED),edu_high_school,==,,,
HIGH_EDU,13,"Some college, no degree",edu_some_college,==,,,
HIGH_EDU,14,Associate's degree,edu_assoc_degree,==,,,
HIGH_EDU,15,Bachelor's degree,edu_bachelors,==,,,
HIGH_EDU,16,"Master's, professional, or doctorate degree",edu_masters_doctorate,==,,,
OCCULIS1,1,"Administrator, manager",occ_admin_or_manager,==,,,
OCCULIS1,2,Teacher,occ_teacher,==,,,
OCCULIS1,3,Professional,occ_professional,==,,,
OCCULIS1,4,"Administrative support, including clerical",occ_admin_support,==,,,
OCCULIS1,5,"Sales, retail",occ_retail_sales,==,,,
OCCULIS1,6,"Sales, business goods and services",occ_business_sales,==,,,
OCCULIS1,7,Technician,occ_technician,==,,,
OCCULIS1,8,Protective service,occ_potective_service,==,,,
OCCULIS1,9,Private household service,occ_private_hh_servicce,==,,,
OCCULIS1,10,Other service,occ_other_service,==,,,
OCCULIS1,11,"Machine operator, assembler, inspector",occ_machine_operator_assembler_or_inspector,==,,,
OCCULIS1,12,Transportation operator,occ_transportation_operator,==,,,
OCCULIS1,13,"Handler, helper, laborer",occ_handler_helper_laborer,==,,,
OCCULIS1,14,"Mechanic, repairer, precision production",occ_mechanic_repairer_or_precision_production,==,,,
OCCULIS1,15,"Construction, mining",occ_construction_or_mining,==,,,
OCCULIS1,16,Farming,occ_farming,==,,,
OCCULIS1,17,"Forestry, fishing, groundskeeping",occ_forestry_fishing_groundskeeping,==,,,
OCCULIS1,18,Armed forces,occ_armed_forces,==,,,
OCCULIS2,1,"Administrator, manager",occ_spouse_admin_or_manager,==,,,
OCCULIS2,2,Teacher,occ_spouse_teacher,==,,,
OCCULIS2,3,Professional,occ_spouse_professional,==,,,
OCCULIS2,4,"Administrative support, including clerical",occ_spouse_admin_support,==,,,
OCCULIS2,5,"Sales, retail",occ_spouse_retail_sales,==,,,
OCCULIS2,6,"Sales, business goods and services",occ_spouse_business_sales,==,,,
OCCULIS2,7,Technician,occ_spouse_technician,==,,,
OCCULIS2,8,Protective service,occ_spouse_potective_service,==,,,
OCCULIS2,9,Private household service,occ_spouse_private_hh_servicce,==,,,
OCCULIS2,10,Other service,occ_spouse_other_service,==,,,
OCCULIS2,11,"Machine operator, assembler, inspector",occ_spouse_machine_operator_assembler_or_inspector,==,,,
OCCULIS2,12,Transportation operator,occ_spouse_transportation_operator,==,,,
OCCULIS2,13,"Handler, helper, laborer",occ_spouse_handler_helper_laborer,==,,,
OCCULIS2,14,"Mechanic, repairer, precision production",occ_spouse_mechanic_repairer_or_precision_production,==,,,
OCCULIS2,15,"Construction, mining",occ_spouse_construction_or_mining,==,,,
OCCULIS2,16,Farming,occ_spouse_farming,==,,,
OCCULIS2,17,"Forestry, fishing, groundskeeping",occ_spouse_forestry_fishing_groundskeeping,==,,,
OCCULIS2,18,Armed forces,occ_spouse_armed_forces,==,,,
POPSIZE,1,More than 5 million,pop_more_5_mil,==,,,
POPSIZE,2,1-5 million,pop_1_mil_to_5_mil,==,,,
POPSIZE,3,0.5-1.0 million,pop_500k_to_1_mil,==,,,
POPSIZE,4,100-500 thousand,pop_100k_to_500k,==,,,
POPSIZE,5,Less than 100 thousand,pop_less_100k,==,,,
REGION,1,Northeast,region_northeast,==,,,
REGION,2,Midwest,region_midwest,==,,,
REGION,3,South,region_south,==,,,
REGION,4,West,region_wes,==,,,
SMSASTAT,1,Yes,in_msa_yes,==,,,
SMSASTAT,2,No,in_msa_no,==,,,
TYPOWND,1,Regular ownership,own_regular,==,,,
TYPOWND,2,Condominium,own_condo,==,,,
TYPOWND,3,Cooperative,own_coop,==,,,
URBAN,1,Urban,city_type_urban,==,,,
URBAN,2,Rural,city_type_rural,==,,,
WELFRB,1,$0-$999,,,,,
WELFRB,2,"$1,000-$1,999",,,,,
WELFRB,3,"$2,000-$2,999",,,,,
WELFRB,4,"$3,000-$3,999",,,,,
WELFRB,5,"$4,000-$4,999",,,,,
WELFRB,6,"$5,000-$9,999",welfr_less_10k,<=,,,
WELFRB,7,"$10,000-$14,999",,,,,
WELFRB,8,"$15,000-$19,999",welfr_10k_to_20k,<=,and,>,6
WELFRB,9,"$20,000-$29,999",,,,,
WELFRB,10,"$30,000-$39,999",,,,,
WELFRB,11,"$40,000-$49,999",welf_20k_to_50k,<=,and,>,8
WELFRB,12,"$50,000 and over",welf_more_50k,==,,,
AGE_REF,17,reference person younger than 18,age_ref_less_18,<=,,,
AGE_REF,34,18-34,age_ref_18_to_34,<=,and,>,17
AGE_REF,44,35-44,age_ref_35_to_44,<=,and,>,34
AGE_REF,54,45-54,age_ref_45_to_54,<=,and,>,44
AGE_REF,55,55 +,age_ref_more_54,>=,,,
AGE2,17,reference person younger than 18,age_spouse_less_18,<=,,,
AGE2,34,18-34,age_spouse_18_to_34,<=,and,>,17
AGE2,44,35-44,age_spouse_35_to_44,<=,and,>,34
AGE2,54,45-54,age_spouse_45_to_54,<=,and,>,44
AGE2,55,55 +,age_spouse_more_54,>=,,,
FAM_SIZE,1,1 person in the consumer unit,cu_size_1,==,,,
FAM_SIZE,2,2 people in the consumer unit,cu_size_2,==,,,
FAM_SIZE,3,3 people in the consumer unit,cu_size_3,==,,,
FAM_SIZE,4,4 people in the consumer unit,cu_size_4,==,,,
FAM_SIZE,5,5 people in the consumer unit,cu_size_5,==,,,
FAM_SIZE,6,6 people in the consumer unit,cu_size_6,==,,,
FAM_SIZE,7,7 people in the consumer unit,cu_size_7,==,,,
FAM_SIZE,8,more than 7 people in the consumer unit,cu_size_more_7,>=,,,
FINCBEFX,50000,less 50,income_less_50k,<=,,,
FINCBEFX,75000,50 - 75,income_50k_to_75k,<=,and,>,50000
FINCBEFX,100000,75 - 100,income_75k_to_100k,<=,and,>,75000
FINCBEFX,200000,100 - 200,income_100k_to_200k,<=,and,>,100000
FINCBEFX,200000,more 200,income_more_200k,>,,,
PERSLT18,0,,pers_less_18_yd,>,,,
PERSLT18,0,,children_none,==,,,
PERSLT18,1,,children_1,==,,,
PERSLT18,2,,children_2,==,,,
PERSLT18,2,,children_3plus,>,,,
PERSOT64,0,,no_pers_more_64_yd,==,,,
PERSOT64,1,,one_pers_more_64_yd,==,,,
PERSOT64,2,,two_pers_more_64_yd,==,,,
PERSOT64,2,,more_two_pers_more_64_yd,>,,,
STRTMNTH,1,,start_month_jan,==,,,
STRTMNTH,2,,start_month_feb,==,,,
STRTMNTH,3,,start_month_mar,==,,,
STRTMNTH,4,,start_month_apr,==,,,
STRTMNTH,5,,start_month_may,==,,,
STRTMNTH,6,,start_month_jun,==,,,
STRTMNTH,7,,start_month_jul,==,,,
STRTMNTH,8,,start_month_aug,==,,,
STRTMNTH,9,,start_month_sep,==,,,
STRTMNTH,10,,start_month_oct,==,,,
STRTMNTH,11,,start_month_nov,==,,,
STRTMNTH,12,,start_month_dec,==,,,
STRTYEAR,2023,,start_year_2023,==,,,
VEHQ,0,,veh_none,==,,,
VEHQ,1,,veh_1,==,,,
VEHQ,2,,veh_2,==,,,
VEHQ,3,,veh_3,==,,,
VEHQ,4,,veh_more_3,>=,,,
SEX_REF,1,Reference person is male,ref_male,==,,,
SEX_REF,2,Reference person is female,ref_female,==,,,
SEX2,1,Spouce is male,spouse_male,==,,,
SEX2,2,Spouce is female,spouse_female,==,,,
BLS_URBN,1,Urban,in_urban,==,,,
BLS_URBN,2,Rural,in_rural,==,,,
MARITAL1,1,Married,married,==,,,
MARITAL1,2,Widowed,widowed,==,,,
MARITAL1,3,Divorced,divorced,==,,,
MARITAL1,4,Separated,separated,==,,,
MARITAL1,5,Never married,never_married,==,,,
