col_names_old,description,keep,col_name_new,is_demographic
INC_RNKM,"Weighted cumulative percent ranking based on total current income, based on mean of imputation iterations",,,
INC_RNK5,Imputation Iteration #5 - INC_RANK,,,
INC_RNK4,Imputation Iteration #4 - INC_RANK,,,
INC_RNK3,Imputation Iteration #3 - INC_RANK,,,
INC_RNK2,Imputation Iteration #2 - INC_RANK,,,
INC_RNK1,Imputation Iteration #1 - INC_RANK,,,
INC_RANK,Weighted cumulative percent ranking based on total current income before taxes,,,
NEWID,Public use microdata identifier,1,,1
AGE_REF,Age of reference person,1,age_ref_person,1
AGE_REF_,Age of reference person (flag),,,
AGE2,Age of spouse,1,age_spouse,1
AGE2_,Age of spouse (flag),,,
BLS_URBN,Is this CU located in an urban or rural area,1,urban_rural,1
CUTENURE,Housing tenure,,,
CUTE_URE,NA,,,
DESCRIP,Housing unit or Group Quarters unit,1,unit_description,1
DESCRIP_,Housing unit or Group Quarters unit (flag),,,
EARNCOMP,Indicates which combinations of members of a CU are income earners,,,
EARN_OMP,NA,,,
EDUC_REF,Education of reference person,,,
EDUC0REF,NA,,,
EDUCA2,What is the highest level of school the spouse has completed or the highest degree the member has received?,,,
EDUCA2_,What is the highest level of school the spouse has completed or the highest degree the member has received? (flag),,,
EMPLTYP1,Employer from which reference person received the most earnings in past 12 months,,,
EMPL_YP1,NA,,,
EMPLTYP2,Employer from which the spouse received the most earnings in past 12 months,,,
EMPL_YP2,NA,,,
FAM_SIZE,Number of Members in CU,1,cu_size,1
FAM__IZE,NA,,,
FAM_TYPE,"Family Type is based on the relationship of members to reference person, whom physically occupy the address selected for the survey. ""Own"" children are sons and daughters children including step children and adopted",1,,1
FAM__YPE,NA,,,
FGVX,The sum of the amount of government retirement deduction,,,
FGVX_,The sum of the amount of government retirement deduction (flag),,,
FINCBEFX,Total amount of family income before taxes in the last 12 months (Collected data),1,inc_bfr_taxes_last_12_months,1
FINC_EFX,NA,,,
FINLWT21,Calibration final weight for the full sample,,,
FIRAX,The sum of the amount deducted for self-employed retirement plan FIRAX,,,
FIRAX_,The sum of the amount deducted for self-employed retirement plan FIRAX (flag),,,
FJSSDEDX,Portion of family income paid to Social Security during the past 12 months,,,
FJSS_EDX,NA,,,
FPVTX,The sum of the amount of private pension fund deduction for all the household members,,,
FPVTX_,The sum of the amount of private pension fund deduction for all the household members (flag),,,
FREEMLX,Weekly dollar amount of free meals,,,
FREEMLX_,Weekly dollar amount of free meals (flag),,,
FRRX,The sum of the railroad retirement deduction for all the household members,,,
FRRX_,The sum of the railroad retirement deduction for all the household members (flag),,,
FS_MTHI,year on which stamps were received during the month) - first,,,
FS_MTHI_,year on which stamps were received during the month) - first (flag),,,
FSS_RRX,Amount of Social Security and Railroad Retirement income prior to deductions for medical insurance and Medicare received by all CU members in past 12 months (Sum SOCRRX from MEMB file for all CU members),,,
FSS_RRX_,Amount of Social Security and Railroad Retirement income prior to deductions for medical insurance and Medicare received by all CU members in past 12 months (Sum SOCRRX from MEMB file for all CU members) (flag),,,
FSUPPX,Sum of the amount from supplemental security income checks for all household members,,,
FSUPPX_,Sum of the amount from supplemental security income checks for all household members (flag),,,
FWAGEX,The sum of the amount of wage/salary income before deductions for all household members,1,wage_inc_sum_all_cu_mems,1
FWAGEX_,The sum of the amount of wage/salary income before deductions for all household members (flag),,,
HRSPRWK1,Number of hours usually worked per week by reference person,,,
HRSP_WK1,NA,,,
HRSPRWK2,Number of hours usually worked per week by spouse,,,
HRSP_WK2,NA,,,
JFS_AMT,Annual value of food stamps,,,
JFS_AMT_,Annual value of food stamps (flag),,,
JGRCFDMV,Monthly expenditure for food and non-alcoholic beverages purchased at grocery store,,,
JGRC_DMV,NA,,,
JGRCFDWK,Weekly expenditure for food and non-alcoholic beverages purchased at grocery store,,,
JGRC_DWK,NA,,,
JGROCYMV,Monthly expenditure for grocery store purchases,,,
JGRO_YMV,NA,,,
JGROCYWK,Weekly expenditure for grocery store purchases,,,
JGRO_YWK,NA,,,
LUMPX,"Amount of lump sum receipts from estates, trusts, royalties, alimony, prizes, games of chance, or persons outside CU received by CU in past 12 months",,,
LUMPX_,"Amount of lump sum receipts from estates, trusts, royalties, alimony, prizes, games of chance, or persons outside CU received by CU in past 12 months (flag)",,,
MARITAL1,Marital status of reference person,1,married,1
MARI_AL1,NA,,,
NO_EARNR,Number of CU members reported as income earners,,,
NO_E_RNR,NA,,,
