CUID,Car Fuel,Family Spending,Food Related,Alcohol,At -Home Entertainment,House Related,Hygiene,Medical,Recreational Related,School Supplies,no category specified,Car Maintenance,Clothing Related,Education,Train Travel,Air Travel,Taxi or Limo Travel,Bus Travel,Car Purchase,Bike or Scooter or other Single Rider Travel,Ship Travel,Car Payment,dwel_hu_house,dwel_hu_nt_hotel,dwel_hu_perm_t_hotel,dwel_hu_rooming_house,dwel_hu_mobilehome_no_perm_room,dwel_hu_mobilehome_perm_room,dwel_hu_other,dwel_ou_rooming_house,dwel_ou_college_dorm,dwel_ou_group_quarters,fam_married_only,fam_married_all_kids_less_6,fam_married_oldest_kid_between_6_18,fam_married_oldest_kid_more_17,fam_married_other,fam_single_dad,fam_single_mom,fam_single_person,fam_other,edu_none,edu_elem,edu_some_high_school,edu_high_school,edu_some_college,edu_assoc_degree,edu_bachelors,edu_masters_doctorate,occ_admin_or_manager,occ_teacher,occ_professional,occ_admin_support,occ_retail_sales,occ_business_sales,occ_technician,occ_potective_service,occ_private_hh_servicce,occ_other_service,occ_machine_operator_assembler_or_inspector,occ_transportation_operator,occ_handler_helper_laborer,occ_mechanic_repairer_or_precision_production,occ_construction_or_mining,occ_farming,occ_forestry_fishing_groundskeeping,occ_armed_forces,occ_spouse_admin_or_manager,occ_spouse_teacher,occ_spouse_professional,occ_spouse_admin_support,occ_spouse_retail_sales,occ_spouse_business_sales,occ_spouse_technician,occ_spouse_potective_service,occ_spouse_private_hh_servicce,occ_spouse_other_service,occ_spouse_machine_operator_assembler_or_inspector,occ_spouse_transportation_operator,occ_spouse_handler_helper_laborer,occ_spouse_mechanic_repairer_or_precision_production,occ_spouse_construction_or_mining,occ_spouse_farming,occ_spouse_forestry_fishing_groundskeeping,occ_spouse_armed_forces,pop_more_5_mil,pop_1_mil_to_5_mil,pop_500k_to_1_mil,pop_100k_to_500k,pop_less_100k,region_northeast,region_midwest,region_south,region_wes,in_msa_yes,in_msa_no,own_regular,own_condo,own_coop,city_type_urban,city_type_rural,welfr_less_10k,welfr_10k_to_20k,welf_20k_to_50k,welf_more_50k,age_ref_less_18,age_ref_18_to_34,age_ref_35_to_44,age_ref_45_to_54,age_ref_more_54,age_spouse_less_18,age_spouse_18_to_34,age_spouse_35_to_44,age_spouse_45_to_54,age_spouse_more_54,cu_size_1,cu_size_2,cu_size_3,cu_size_4,cu_size_more_4,income_less_50k,income_50k_to_75k,income_75k_to_100k,income_100k_to_200k,income_more_200k,pers_less_18_yd,children_none,children_1,children_2,children_3plus,no_pers_more_64_yd,one_pers_more_64_yd,two_pers_more_64_yd,more_two_pers_more_64_yd,start_month_jan,start_month_feb,start_month_mar,start_month_apr,start_month_may,start_month_jun,start_month_jul,start_month_aug,start_month_sep,start_month_oct,start_month_nov,start_month_dec,start_year_2023,veh_none,veh_1,veh_2,veh_3,veh_more_3,ref_male,ref_female,spouse_male,spouse_female,in_urban,in_rural,married,widowed,divorced,separated,never_married
568940,66.48,46.99,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
568943,71.39,0,51.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
568945,65.43,250.60621,435.1699999999999,0,176.28,910.7700000000001,371.73,343.49,5.05,3.53,908.2437899999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
568947,158.19,38.78,353.86,74.80000000000001,369.95083999999997,565.0191600000002,32.95,0,158.01,0,158.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
568948,73.68,33.99,340.15,0,0,10.370000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
568956,105.65,29.83,560.8,187.04999999999998,21.45172,2621.7299999999996,36.82,0,101.60000000000001,8.36828,48.66,1179.58,30.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
568959,44.9,0,306.8,0,255.10000000000002,120.62,10.82,30.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
568960,141.26,0,166.51,0,0,104.00999999999999,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
568962,62.41,0,877.8000299999999,0,0,428.2,0,20,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
568968,65.59,0,98.96001,0,49.92,0,0,29.6,0,0,0,0,67.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
