NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05689401,800931,34173,T,1
05689401,800932,300,NA,1
05689401,900000,418271,T,1
05689401,980000,418271,T,1
05689401,980010,2,NA,1
05689401,980020,38,NA,1
05689401,980030,2,NA,1
05689401,980040,2,NA,1
05689401,980090,100,NA,1
05689401,980210,100,NA,1
05689401,980230,100,NA,1
05689401,980281,100,NA,1
05689401,980286,100,NA,1
05689401,980300,100,NA,1
05689401,980330,100,NA,1
05689402,800931,34173,T,1
05689402,800932,300,NA,1
05689402,900000,418271,T,1
05689402,980000,418271,T,1
05689402,980010,2,NA,1
05689402,980020,38,NA,1
05689402,980030,2,NA,1
05689402,980040,2,NA,1
05689402,980090,100,NA,1
05689402,980210,100,NA,1
05689402,980230,100,NA,1
05689402,980281,100,NA,1
05689402,980286,100,NA,1
05689402,980300,100,NA,1
05689402,980330,100,NA,1
05689411,800940,17651,T,1
05689411,900000,77133,NA,1
05689411,900160,26477,NA,1
05689411,980000,103610,NA,1
05689411,980010,1,NA,1
05689411,980020,42,NA,1
05689411,980030,1,NA,1
05689411,980090,100,NA,1
05689411,980210,100,NA,1
05689411,980230,100,NA,1
05689411,980281,100,NA,1
05689411,980286,100,NA,1
05689411,980310,100,NA,1
05689412,800940,17651,T,1
05689412,900000,118911,NA,1
05689412,900160,44236,NA,1
05689412,980000,163147,NA,1
05689412,980010,1,NA,1
05689412,980020,42,NA,1
05689412,980030,1,NA,1
05689412,980090,100,NA,1
05689412,980210,100,NA,1
05689412,980230,100,NA,1
05689412,980281,100,NA,1
05689412,980286,100,NA,1
05689412,980310,100,NA,1
05689421,900030,1500,NA,1
05689421,900170,8618,NA,1
05689421,980000,10118,NA,1
05689421,980010,1,NA,1
05689421,980020,88,T,1
05689421,980040,1,NA,1
05689421,980060,1,NA,1
05689421,980090,100,NA,1
05689421,980220,100,NA,1
05689421,980240,100,NA,1
05689421,980281,100,NA,1
05689421,980286,100,NA,1
05689421,980310,100,NA,1
05689421,980330,100,NA,1
05689422,900030,1500,NA,1
05689422,900170,2014,NA,1
05689422,980000,3514,NA,1
05689422,980010,1,NA,1
05689422,980020,88,T,1
05689422,980040,1,NA,1
05689422,980060,1,NA,1
05689422,980090,100,NA,1
