NEWID,ALLOC,COST,PUB_FLAG,UCC,EXPNSQDY,EXPN_QDY,EXPNWKDY,EXPN_KDY,EXPNMO,EXPNMO_,EXPNYR,EXPNYR_
05689401,0,66.48000,1,470111,4,D,1,D,01,D,2024,D
05689401,0,46.99000,2,610310,6,D,3,D,01,D,2024,D
05689402,0,2.18000,2,100210,4,D,1,D,02,D,2024,D
05689402,0,3.73000,2,110110,4,D,1,D,02,D,2024,D
05689402,0,25.99000,2,170319,4,D,1,D,02,D,2024,D
05689411,0,1.99000,2,010310,5,D,4,D,01,D,2024,D
05689411,0,1.39000,2,020219,1,D,7,D,01,D,2024,D
05689411,0,1.39000,2,020219,2,D,1,D,01,D,2024,D
05689411,0,1.39000,2,020219,3,D,2,D,01,D,2024,D
05689411,0,1.39000,2,020219,5,D,4,D,01,D,2024,D
05689411,0,1.39000,2,020219,6,D,5,D,01,D,2024,D
05689411,0,1.39000,2,020219,7,D,6,D,01,D,2024,D
05689411,0,7.49000,2,040119,6,D,5,D,01,D,2024,D
05689411,0,12.99000,2,060119,5,D,4,D,01,D,2024,D
05689411,0,2.99000,2,080110,1,D,7,D,01,D,2024,D
05689411,0,2.99000,2,080110,2,D,1,D,01,D,2024,D
05689411,0,2.99000,2,080110,3,D,2,D,01,D,2024,D
05689411,0,2.99000,2,080110,5,D,4,D,01,D,2024,D
05689411,0,2.99000,2,080110,6,D,5,D,01,D,2024,D
05689411,0,2.99000,2,080110,7,D,6,D,01,D,2024,D
05689411,0,2.39000,2,090110,2,D,1,D,01,D,2024,D
05689411,0,1.99000,2,100210,7,D,6,D,01,D,2024,D
05689411,0,2.50000,2,100519,3,D,2,D,01,D,2024,D
05689411,0,3.99000,2,120410,6,D,5,D,01,D,2024,D
05689411,0,2.30000,2,120410,6,D,5,D,01,D,2024,D
05689411,0,0.50000,2,120410,6,D,5,D,01,D,2024,D
05689411,0,0.99000,2,120410,6,D,5,D,01,D,2024,D
05689411,0,1.07000,2,170210,7,D,6,D,01,D,2024,D
05689411,0,13.99000,2,170319,3,D,2,D,01,D,2024,D
05689411,0,2.99000,2,170539,5,D,4,D,01,D,2024,D
05689411,0,2.99000,2,170539,6,D,5,D,01,D,2024,D
05689411,0,35.00000,2,190400,1,D,7,D,01,D,2024,D
05689411,0,25.99000,2,190400,4,D,3,D,01,D,2024,D
05689411,0,24.99000,2,190400,7,D,6,D,01,D,2024,D
05689411,0,16.25000,2,200219,7,D,6,D,01,D,2024,D
05689411,0,35.78000,1,690114,4,D,3,D,01,D,2024,D
05689412,0,0.99000,2,010310,3,D,2,D,01,D,2024,D
05689412,0,1.39000,2,020219,1,D,7,D,01,D,2024,D
05689412,0,1.39000,2,020219,2,D,1,D,01,D,2024,D
05689412,0,1.39000,2,020219,3,D,2,D,01,D,2024,D
05689412,0,1.39000,2,020219,4,D,3,D,01,D,2024,D
05689412,0,1.39000,2,020219,6,D,5,D,01,D,2024,D
05689412,0,1.39000,2,020219,7,D,6,D,01,D,2024,D
05689412,0,8.99000,2,030519,2,D,1,D,01,D,2024,D
05689412,0,2.99000,2,040119,5,D,4,D,01,D,2024,D
05689412,0,1.99000,2,040319,7,D,6,D,01,D,2024,D
05689412,0,10.99000,2,060119,5,D,4,D,01,D,2024,D
05689412,0,2.99000,2,080110,1,D,7,D,01,D,2024,D
05689412,0,2.38000,2,080110,2,D,1,D,01,D,2024,D
05689412,0,2.89000,2,080110,3,D,2,D,01,D,2024,D
05689412,0,2.99000,2,080110,4,D,3,D,01,D,2024,D
05689412,0,2.99000,2,080110,5,D,4,D,01,D,2024,D
05689412,0,2.99000,2,080110,6,D,5,D,01,D,2024,D
