INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.9664576,0.966855,0.9659162,0.9659645,0.9668301,0.9656435,0.9827824,05689401,38,D,33,D,1,1,D,01,D,2,D,12,D,16,D,1,D,3,D,2,D,1,D,0,D,529524,T,56393.57,300,D,27073,T,34570,T,NA,A,0,D,NA,A,0,D,0,D,529524,T,40,D,40,D,0,D,652,D,150,D,870,D,200,D,NA,A,1,NA,2,D,NA,A,02,D,NA,A,0,D,0,D,0,D,03,D,1,1,NA,2,D,1,D,3,1,D,2,NA,1,01,2024,1,D,2,D,1,D,2,NA,A,NA,A,NA,A,52,D,32,D,133253.95,126421.994,90321.401,116095.744,87851.66,NA,NA,NA,102764.632,NA,125703.472,79303.357,104590.944,NA,NA,NA,NA,0,NA,104381.854,NA,NA,NA,116665.145,111519.573,NA,109889.033,NA,92629.864,103595.613,NA,NA,123536.914,NA,NA,130952.836,NA,114664.201,NA,NA,137322.148,80413.017,100704.588,NA,132449.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.99,0,0,0,0,1,D,NA,A,0,D,48,T,568940,NA,A,NA,A,0,D,418271.2,T,418271,418271,418271,418271,418271,100,0,D,0,0,0,0,0,34173,T,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,418271.2,T,418271,418271,418271,418271,418271,100,T,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S37B,16,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,A,A,7,5,1,2,2
0.966876,0.9672734,0.9663346,0.9663829,0.9672485,0.9660619,0.9832008,05689402,38,D,33,D,1,1,D,01,D,2,D,12,D,16,D,1,D,3,D,2,D,1,D,0,D,529524,T,56393.57,300,D,27073,T,34570,T,NA,A,0,D,NA,A,0,D,0,D,529524,T,40,D,40,D,0,D,652,D,150,D,870,D,200,D,NA,A,1,NA,2,D,NA,A,02,D,NA,A,0,D,0,D,0,D,03,D,1,1,NA,2,D,1,D,3,1,D,2,NA,1,02,2024,1,D,2,D,2,D,2,NA,A,NA,A,NA,A,52,D,32,D,133253.95,126421.994,90321.401,116095.744,87851.66,NA,NA,NA,102764.632,NA,125703.472,79303.357,104590.944,NA,NA,NA,NA,0,NA,104381.854,NA,NA,NA,116665.145,111519.573,NA,109889.033,NA,92629.864,103595.613,NA,NA,123536.914,NA,NA,130952.836,NA,114664.201,NA,NA,137322.148,80413.017,100704.588,NA,132449.937,31.9,31.9,0,0,0,0,0,0,0,0,0,2.18,3.73,0,0,0,25.99,0,0,0,0,0,0,0,0,0,0,1,D,NA,A,0,D,48,T,568940,NA,A,NA,A,0,D,418271.2,T,418271,418271,418271,418271,418271,100,0,D,0,0,0,0,0,34173,T,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,418271.2,T,418271,418271,418271,418271,418271,100,T,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S37B,16,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,A,A,7,5,1,2,2
0.654049,0.5000516,0.4849597,0.5769238,0.7868345,0.7562369,0.0376532,05689411,42,D,NA,A,1,1,D,01,D,1,D,13,D,NA,A,5,D,NA,A,1,D,8,D,0,D,0,D,42447.946,0,D,0,D,0,D,NA,A,0,D,NA,A,0,D,0,D,0,D,50,D,NA,A,0,D,500,D,115,D,544,D,125,D,NA,A,5,NA,1,D,2000,D,NA,A,NA,A,0,D,0,D,0,D,06,D,2,NA,A,2,D,1,D,1,1,D,NA,A,1,01,2024,1,D,NA,A,1,D,2,NA,A,NA,A,NA,A,52,D,NA,A,NA,NA,80648.234,NA,72728.94,NA,NA,79087.67,84804.611,NA,79131.153,72631.401,NA,101311.561,NA,87917.925,85387.732,0,NA,NA,NA,86891.549,NA,NA,NA,NA,NA,75842.543,58499.399,90079.1,NA,87801.399,NA,NA,NA,75490.993,82935.823,84965.193,68232.448,79180.713,NA,66310.989,81523.135,85921.649,NA,170.43,84.45,1.99,8.34,0,7.49,0,12.99,0,17.94,2.39,4.49,0,7.78,0,0,21.04,0,0,85.98,16.25,0,0,0,0,0,0,1,D,NA,A,0,D,36,A,568941,NA,A,NA,A,0,D,103610,D,135626,148170,88891,71293,74070,202,17650.8,T,17651,17651,17651,17651,17651,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,77133.2,D,115215,100000,82967,15494,71990,201,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,NA,13,0,D,20411,48170,5924,55799,2080,201,26477,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,A,A,2,5,1,2,NA
0.8183528,0.8250089,0.8408809,0.8471809,0.8416297,0.647972,0.0230092,05689412,42,D,NA,A,1,1,D,01,D,1,D,13,D,NA,A,5,D,NA,A,1,D,8,D,0,D,0,D,42447.946,0,D,0,D,0,D,NA,A,0,D,NA,A,0,D,0,D,0,D,50,D,NA,A,0,D,500,D,115,D,544,D,125,D,NA,A,5,NA,1,D,2000,D,NA,A,NA,A,0,D,0,D,0,D,06,D,2,NA,A,2,D,1,D,1,1,D,NA,A,1,01,2024,1,D,NA,A,2,D,2,NA,A,NA,A,NA,A,52,D,NA,A,NA,NA,80648.234,NA,72728.94,NA,NA,79087.67,84804.611,NA,79131.153,72631.401,NA,101311.561,NA,87917.925,85387.732,0,NA,NA,NA,86891.549,NA,NA,NA,NA,NA,75842.543,58499.399,90079.1,NA,87801.399,NA,NA,NA,75490.993,82935.823,84965.193,68232.448,79180.713,NA,66310.989,81523.135,85921.649,NA,282.83,106.86,0.99,8.34,8.99,4.98,0,10.99,0,20.22,10.96,5.48,0,14.94,0,0,16.98,1.99,2,175.97,0,0,0,0,0,0,0,1,D,NA,A,0,D,36,A,568941,NA,A,NA,A,0,D,163147,D,101122,177990,185837,178472,172314,202,17650.8,T,17651,17651,17651,17651,17651,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,118911.4,D,100873,144466,144114,76284,128820,201,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,NA,13,0,D,249,33524,41723,102188,43494,201,44236,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,A,A,2,5,1,2,NA
0.0447348,0.1730652,0.0172388,0.0182375,0.0648358,0.0186047,0.1075167,05689421,88,T,NA,A,1,2,D,01,D,8,D,13,D,NA,A,NA,A,NA,A,1,D,8,D,0,D,1500,D,34285.908,0,D,0,D,0,D,NA,A,0,D,NA,A,1500,D,0,D,0,D,NA,A,NA,A,0,D,435,D,100,D,435,D,100,D,NA,A,2,NA,0,D,NA,A,NA,A,NA,A,0,D,0,D,1,D,NA,A,1,NA,A,2,D,1,D,3,2,D,NA,A,1,01,2024,1,D,1,D,1,D,2,NA,A,1,D,NA,A,0,D,NA,A,NA,58578.597,64452.789,58908.542,65319.708,64279.225,NA,72163.842,60791.371,63305.581,NA,NA,76857.262,NA,67274.802,NA,NA,0,58184.305,50106.363,NA,59999.791,75510.548,NA,64867.433,NA,58406.104,59830.562,NA,NA,NA,80261.372,NA,NA,NA,NA,NA,68392.522,66750.88,61884.819,NA,62469.532,NA,NA,NA,86.52,86.52,0,22.41,0,0,0,0,0,0,2.14,0,12.19,17.7,3.37,5.31,4.7,4.7,14,0,0,0,0,0,0,0,0,1,D,NA,A,0,D,51,D,568942,NA,A,NA,A,0,D,10118,D,2470,14078,2923,2353,28766,201,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,1500,D,1500,1500,1500,1500,1500,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S35A,13,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,B,NA,C,NA,C,970,12578,1423,853,27266,201,8618,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,D,A,5,1,2,2,NA
0.0184346,0.0108277,0.0486205,0.016418,0.0152314,0.014455,0.107771,05689422,88,T,NA,A,1,2,D,01,D,8,D,13,D,NA,A,NA,A,NA,A,1,D,8,D,0,D,1500,D,34285.908,0,D,0,D,0,D,NA,A,0,D,NA,A,1500,D,0,D,0,D,NA,A,NA,A,0,D,435,D,100,D,435,D,100,D,NA,A,2,NA,0,D,NA,A,NA,A,NA,A,0,D,0,D,1,D,NA,A,1,NA,A,2,D,1,D,3,2,D,NA,A,1,01,2024,1,D,1,D,2,D,2,NA,A,1,D,NA,A,0,D,NA,A,NA,58578.597,64452.789,58908.542,65319.708,64279.225,NA,72163.842,60791.371,63305.581,NA,NA,76857.262,NA,67274.802,NA,NA,0,58184.305,50106.363,NA,59999.791,75510.548,NA,64867.433,NA,58406.104,59830.562,NA,NA,NA,80261.372,NA,NA,NA,NA,NA,68392.522,66750.88,61884.819,NA,62469.532,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,NA,A,0,D,51,D,568942,NA,A,NA,A,0,D,3514,D,2065,2305,2587,8924,1689,201,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,1500,D,1500,1500,1500,1500,1500,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S35A,13,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,B,NA,C,NA,C,565,805,1087,7424,189,201,2014,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,D,A,5,1,2,2,NA
0.3004276,0.3566925,0.3010108,0.2851513,0.3051644,0.3079306,0.4004334,05689431,62,D,NA,A,1,4,D,01,D,1,D,15,D,NA,A,1,D,NA,A,1,D,8,D,0,D,44500,D,16146.524,0,D,3290,D,0,D,NA,A,0,D,NA,A,0,D,0,D,43000,D,40,D,NA,A,0,D,391,D,90,D,435,D,100,D,NA,A,2,NA,1,D,NA,A,NA,A,NA,A,0,D,0,D,0,D,01,D,2,NA,A,2,D,1,D,3,2,D,NA,A,1,01,2024,NA,A,1,D,1,D,2,NA,A,NA,A,NA,A,52,D,NA,A,NA,NA,33726.545,33486.827,31032.471,36022.793,37186.562,NA,35686.687,32126.615,30699.093,NA,NA,26014.171,NA,30113.952,NA,0,NA,35105.104,32832.503,NA,40067.236,27966.233,NA,28312.791,NA,27630.278,29439.722,NA,NA,NA,29715.119,NA,NA,NA,NA,NA,39663.529,35209.23,33763.37,NA,38078.582,NA,NA,51.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.25,5,0,0,0,0,0,0,1,D,NA,A,0,D,12,D,568943,NA,A,NA,A,0,D,45431.6,D,44118,44465,43291,44283,51001,301,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,43931.6,D,42618,42965,41791,42783,49501,301,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S35D,15,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,1500,D,1500,1500,1500,1500,1500,100,1500,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,D,A,5,3,1,2,NA
0.3166653,0.3093297,0.3492294,0.3108199,0.3115149,0.3619733,0.4003136,05689432,62,D,NA,A,1,4,D,01,D,1,D,15,D,NA,A,1,D,NA,A,1,D,8,D,0,D,44500,D,16146.524,0,D,3290,D,0,D,NA,A,0,D,NA,A,0,D,0,D,43000,D,40,D,NA,A,0,D,391,D,90,D,435,D,100,D,NA,A,2,NA,1,D,NA,A,NA,A,NA,A,0,D,0,D,0,D,01,D,2,NA,A,2,D,1,D,3,2,D,NA,A,1,02,2024,NA,A,1,D,2,D,2,NA,A,NA,A,NA,A,52,D,NA,A,NA,NA,33726.545,33486.827,31032.471,36022.793,37186.562,NA,35686.687,32126.615,30699.093,NA,NA,26014.171,NA,30113.952,NA,0,NA,35105.104,32832.503,NA,40067.236,27966.233,NA,28312.791,NA,27630.278,29439.722,NA,NA,NA,29715.119,NA,NA,NA,NA,NA,39663.529,35209.23,33763.37,NA,38078.582,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,NA,A,0,D,12,D,568943,NA,A,NA,A,0,D,47705,D,50627,45567,46175,50262,45894,301,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,46205,D,49127,44067,44675,48762,44394,301,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S35D,15,0,D,0,0,0,0,0,100,0,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,1500,D,1500,1500,1500,1500,1500,100,1500,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,A,A,A,D,A,5,3,1,2,NA
0.7302979,0.5591428,0.7579307,0.8412912,0.7812568,0.5231783,0.5191253,05689451,75,D,NA,A,1,2,D,01,D,7,D,15,D,NA,A,NA,A,NA,A,2,D,9,D,0,D,60988,D,2901.651,0,D,0,D,0,D,NA,A,0,D,NA,A,16364,D,0,D,0,D,NA,A,NA,A,0,D,1196,D,275,D,1913,D,440,D,NA,A,3,NA,1,D,NA,A,NA,A,NA,A,0,D,0,D,1,D,NA,A,4,NA,A,2,D,1,D,4,2,D,NA,A,1,01,2024,1,D,2,D,1,D,2,NA,A,1,D,NA,A,0,D,NA,A,5212.545,5614.208,NA,8486.177,NA,NA,5425.736,8359.754,5615.81,NA,4548.349,3672.567,7331.432,5703.615,5295.617,NA,NA,0,NA,5894.471,NA,7785.346,4438.637,6818.544,NA,NA,NA,NA,NA,7205.965,NA,NA,NA,6860.683,6370.579,NA,4909.723,NA,6615.332,4506.322,NA,NA,5172.981,NA,NA,144.68,144.68,0,0,0,0,0,0,0,9.99,0,0,87.96,21.68,0,0,15.96,0,9.09,0,0,0,0,232.23,0,70.64,28.89,1,D,NA,A,7,D,02,D,568945,NA,A,NA,A,0,D,125286.6,D,76165,145960,180975,139521,83812,201,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,16364,D,16364,16364,16364,16364,16364,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,D,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S49G,15,0,D,15177,84972,119987,78533,22824,201,64299,NA,A,NA,A,2624,D,2624,2624,2624,2624,2624,100,2624,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,42000,D,42000,42000,42000,42000,42000,100,42000,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,D,D,A,D,A,A,9,3,2,2,NA
0.882898,0.8787644,0.8800308,0.8806794,0.8831384,0.8804221,0.5191468,05689452,75,D,NA,A,1,2,D,01,D,7,D,15,D,NA,A,NA,A,NA,A,2,D,9,D,0,D,60988,D,2901.651,0,D,0,D,0,D,NA,A,0,D,NA,A,16364,D,0,D,0,D,NA,A,NA,A,0,D,1196,D,275,D,1913,D,440,D,NA,A,3,NA,1,D,NA,A,NA,A,NA,A,0,D,0,D,1,D,NA,A,4,NA,A,2,D,1,D,4,2,D,NA,A,1,01,2024,1,D,2,D,2,D,2,NA,A,1,D,NA,A,0,D,NA,A,5212.545,5614.208,NA,8486.177,NA,NA,5425.736,8359.754,5615.81,NA,4548.349,3672.567,7331.432,5703.615,5295.617,NA,NA,0,NA,5894.471,NA,7785.346,4438.637,6818.544,NA,NA,NA,NA,NA,7205.965,NA,NA,NA,6860.683,6370.579,NA,4909.723,NA,6615.332,4506.322,NA,NA,5172.981,NA,NA,290.49,290.49,0,9.99,0,0,30.93,0,0,21.98,14.36,25.96,102.19,51.05,0,6.96,8.89,0,18.18,0,0,0,24.25,78.85,60.65,0,36.12,1,D,NA,A,7,D,02,D,568945,NA,A,NA,A,0,D,210571.5,T,210572,210572,210572,210572,210572,201,0,D,0,0,0,0,0,0,D,0,D,NA,A,NA,NA,NA,NA,NA,100,16364,D,16364,16364,16364,16364,16364,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,T,0,D,0,0,0,0,0,NA,A,NA,NA,NA,NA,NA,100,NA,A,NA,NA,NA,NA,NA,100,201,NA,A,NA,A,NA,A,NA,A,NA,A,NA,A,S49G,15,0,D,149584,149584,149584,149584,149584,201,149584,NA,A,NA,A,2624,D,2624,2624,2624,2624,2624,100,2624,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,42000,D,42000,42000,42000,42000,42000,100,42000,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,100,NA,T,D,A,D,A,A,9,3,2,2,NA
