Study,Uses CEX Data,Category
@morris_family_1979,FALSE,Transportation and Budgets
@skinner_variable_1985,TRUE,Budgets
@nayga_sample_1998,TRUE,Budgets
@blumenberg_transportation_2003,TRUE,Transportation and Budgets
@thakuriah_analysis_2005,TRUE,Transportation and Budgets
@hong_leisure_2005,TRUE,Transportation and Budgets
@thakuriah_vonu_transportation_2006,TRUE,Transportation and Budgets
@fontes_effects_2006,TRUE,Budgets
@choo_transportation_2007,TRUE,Transportation and Budgets
@copperman_analysis_2007,FALSE,Transportation
@sener_analysis_2007,FALSE,Household Choices
@copperman_exploratory_2007,FALSE,Household Choices
@haas_estimating_2008,TRUE,Transportation and Budgets
@sener_analysis_2008,FALSE,Household Choices
@ferdous_comprehensive_2010,TRUE,Transportation and Budgets
@souche_measuring_2010,FALSE,Transportation
@paleti_empirical_2011,FALSE,Household Choices
@sabelhaus_is_2013,TRUE,Budgets
@deka_relationship_2015,TRUE,Transportation and Budgets
@bernardo_empirical_2015,FALSE,Household Choices
@lino_expenditures_2017,TRUE,Budgets
@mccarthy_factors_2017,FALSE,Transportation
@mattson_relationships_2019,TRUE,Transportation and Budgets
@leung_environment-people_2019,FALSE,Household Choices
@mattson_relationships_2020,TRUE,Transportation and Budgets
@osborne_updated_2021,TRUE,Budgets
@hastings_parental_2022,TRUE,Budgets
@lu_role_2022,FALSE,Transportation
@amirnazmiafshar_review_2022,FALSE,Transportation
@duncan_estimating_2023,FALSE,Budgets
@molloy_new_2024,TRUE,Transportation and Budgets
@bureau_of_transportation_statistics_transportation_2024,TRUE,Transportation and Budgets
@hargunani_study_2024,FALSE,Budgets
@klein_subsidizing_2024,FALSE,Transportation
@bilgin_investigating_2025,FALSE,Transportation
